url,action,replacement,page,note
http://plato,replace,http://plato.stanford.edu/archives/win2002/entries/popper/,,truncated upstream; target is live
http://www.radford,replace,http://www.radford.edu/~jaspelme/443/spring-2007/Articles/Jones_n_Harris_1967.pdf,,truncated upstream; 403 is a bot block
http://www2,archive,https://web.archive.org/web/20241108202112/https://www2.psych.ubc.ca/~schaller/Psyc590Readings/Hastorf1954.pdf,,truncated upstream and the target is a real 404; snapshot instead. NB the replacement must archive the *reconstructed* URL - a blank replacement would archive the truncated one
https://wiki.lesswrong.com/wiki/AIXI,replace,https://www.lesswrong.com/w/aixi,,retired wiki
https://wiki.lesswrong.com/wiki/Amount%20of%20evidence,replace,https://www.lesswrong.com/w/amount-of-evidence,,retired wiki
https://wiki.lesswrong.com/wiki/Locate%20the%20hypothesis,replace,https://www.lesswrong.com/w/locate-the-hypothesis,,retired wiki
https://wiki.lesswrong.com/wiki/Occam%27s_razor,replace,https://www.lesswrong.com/w/occam-s-razor,,retired wiki
https://wiki.lesswrong.com/wiki/Privileging%20the%20hypothesis,replace,https://www.lesswrong.com/w/privileging-the-hypothesis,,retired wiki
https://wiki.lesswrong.com/wiki/anti-epistemology,replace,https://www.lesswrong.com/w/anti-epistemology,,retired wiki
https://wiki.lesswrong.com/wiki/burdensome%20details,replace,https://www.lesswrong.com/w/burdensome-details,,retired wiki
https://wiki.lesswrong.com/wiki/free%20will,replace,https://www.lesswrong.com/w/free-will,,retired wiki
https://wiki.lesswrong.com/wiki/rational%20evidence,replace,https://www.lesswrong.com/w/rational-evidence,,retired wiki
http://chem.tufts.edu/AnswersInScience/RelativityofWrong.htm,replace,https://web.archive.org/web/20200701162506/https://chem.tufts.edu/answersinscience/relativityofwrong.htm,,
http://csml.som.ohio-state.edu/Music829C/hindsight.bias.html,replace,https://web.archive.org/web/20170430193726/http://csml.som.ohio-state.edu/Music829C/hindsight.bias.html,,
http://fastandfrugal.com/,replace,https://web.archive.org/web/20190203094629/http://fastandfrugal.com/,,
http://intelligence.org/files/TowardIdealizedDecisionTheory.pdf,keep,,,
http://journals.cambridge.org/abstract_,remove,,,
http://journals.cambridge.org/abstract_S0140525X00003435,keep,,,
http://kops.ub.uni-konstanz.de/bitstream/handle/urn:nbn:de:bsz:352-opus-5241/ledwig.pdf?sequence=1,replace,http://kops.ub.uni-konstanz.de/bitstream/handle/urn:nbn:de:bsz:352-opus-5241/ledwig.pdf?sequence=1,,
http://media.sethroberts.net/about/whatmakesfoodfattening.pdf,replace,https://web.archive.org/web/20170607211346/http://media.sethroberts.net/about/whatmakesfoodfattening.pdf,,
http://medicine.plosjournals.org/perlserv/?request=get-document&doi=10.1371/journal.pmed.0020124&ct=1,replace,https://web.archive.org/web/20080228053620/http://medicine.plosjournals.org/perlserv/?request=get-document&doi=10.1371%2Fjournal.pmed.0020124&ct=1,,
http://migs.concordia.ca/memoirs/kron/chpt_8.html,replace,https://web.archive.org/web/20200220215708/http://migs.concordia.ca/memoirs/kron/chpt_8.html,,
http://mind.sourceforge.net/diagrams.html,keep,,,
http://news.xinhuanet.com/english/2005-11/01/content_3714003.htm,replace,https://web.archive.org/web/20170422003638/http://news.xinhuanet.com/english/2005-11/01/content_3714003.htm,,
http://onlinelibrary.wiley.com/doi/10.1111/j.1540-5907.2006.00214.x/abstract,keep,,,
http://ozyandmillie.org/2003/03/24/ozy-and-millie-1134/,replace,https://web.archive.org/web/20180326090740/https://ozyandmillie.org/2003/03/24/ozy-and-millie-1134/,,
http://ozyandmillie.org/2006/11/16/ozy-and-millie-1770/,replace,https://web.archive.org/web/20180326072539/https://ozyandmillie.org/2006/11/16/ozy-and-millie-1770/,,
http://people.virginia.edu/~tdw/nisbett&wilson.pdf,replace,https://web.archive.org/web/20210217023915/http://www.people.virginia.edu/~tdw/nisbett&wilson.pdf,,
http://postbiota.org/pipermail/tt/2007-December/001947.html,replace,https://web.archive.org/web/20160428172008/http://postbiota.org/pipermail/tt/2007-December/001947.html,,
http://postbiota.org/pipermail/tt/2008-May/002997.html,replace,https://web.archive.org/web/20161020055625/http://postbiota.org/pipermail/tt/2008-May/002997.html,,
http://psycnet.apa.org/?&fa=main.doiLanding&doi=10.1037/0022-3514.65.2.221,unlink,,,link text is prose; keep the words
http://space.mit.edu/home/tegmark/crazy.html,replace,https://web.archive.org/web/20200110021130/https://space.mit.edu/home/tegmark/crazy.html,,
http://ssc.wisc.edu/~jpiliavi/965/hwang.pdf,replace,https://users.ssc.wisc.edu/~japiliav/965/hwang.pdf,,
http://tvtropes.org/pmwiki/pmwiki.php/Main/CreepyCoolCrosses,keep,,,
http://tvtropes.org/pmwiki/pmwiki.php/Main/JesusTaboo,keep,,,
http://tvtropes.org/pmwiki/pmwiki.php/Main/KilledOffForReal,keep,,,
http://tvtropes.org/pmwiki/pmwiki.php/Main/TookALevelInBadass,keep,,,
http://users.ecs.soton.ac.uk/harnad/Papers/Harnad/harnad90.sgproblem.html,keep,,,
http://web.archive.org/web/,replace,http://web.archive.org/web/20060424082937/http://www.nvon.nl/scheik/best/diversen/scijokes/scijokes.txt,,one URL the wiki split across two links
http://web.archive.org/web/20060424082937/http:,remove,,,
http://web.stanford.edu/group/SITE/archive/SITE_2006/Web%20Session%207/Ozdenoren_Paper.pdf,replace,https://web.archive.org/web/20161213033059/http://web.stanford.edu/group/SITE/archive/SITE_2006/Web%20Session%207/Ozdenoren_Paper.pdf,,
http://wjh-www.harvard.edu/~dtg/Gilbert%20&%20Malone%20%28CORRESPONDENCE%20BIAS%29.pdf,replace,https://web.archive.org/web/20220331220006/https://wjh-www.harvard.edu/~dtg/Gilbert%20&%20Malone%20(CORRESPONDENCE%20BIAS).pdf,,
http://wjh-www.harvard.edu/~dtg/Gilbert%20et%20al%20UNBELIEVING.pdf,unlink,,,link text is prose; keep the words
http://www-abc.mpib-berlin.mpg.de/users/r20/finucane00_the_affect_heuristic.pdf,replace,https://web.archive.org/web/20160320134912/http://www-abc.mpib-berlin.mpg.de/users/r20/finucane00_the_affect_heuristic.pdf,,
http://www.3ammagazine.com/litarchives/2003/jan/interview_catherine_camus.html,keep,,,
http://www.aft.org/sites/default/files/periodicals/Crit_Thinking.pdf,replace,https://web.archive.org/web/20161119190457/http://www.aft.org/sites/default/files/periodicals/Crit_Thinking.pdf,,
http://www.av8n.com/physics/phase-space-thin-lens.htm,replace,https://web.archive.org/web/20161020123649/http://www.av8n.com/physics/phase-space-thin-lens.htm,,
http://www.bartleby.com/73/1211.html,keep,,,
http://www.cep.ucsb.edu/papers/pfc92.pdf,replace,https://web.archive.org/web/20161227201657/http://www.cep.ucsb.edu/papers/pfc92.pdf,,
http://www.danielgilbert.com/Gilbert%20et%20al%20EVERYTHING%20YOU%20READ.pdf,unlink,,,link text is prose; keep the words
